data,ticker,nome,setor,industria,preco_atual,market_cap,pl,pl_forward,pvp,psr,ev_ebitda,roe,roa,margem_liquida,margem_bruta,margem_ebitda,dividend_yield,payout_ratio,divida_patrimonio,lpa,lpa_forward,beta,volume_medio
2026-08-25,SEER3,SER EDUCA   ON      NM,Consumer Defensive,Education & Training Services,12.03,1540326784.0,5.6745286,4.8144264,1.0109243,0.6717213,4.182,0.19143999,0.096499994,0.11847,0.59962004,0.27454,3.45,0.22540002,91.701,2.12,2.49874,0.173,711841
2026-08-27,SEER3,SER EDUCA   ON      NM,Consumer Defensive,Education & Training Services,11.81,1512158080.0,5.570755,4.7263823,0.99243706,0.6594372,4.239,0.19143999,0.096499994,0.11847,0.59962004,0.27454,3.37,0.22540002,91.701,2.12,2.49874,0.173,755811
2026-08-24,SIMH3,SIMPAR      ON      NM,Industrials,Rental & Leasing Services,6.24,3642657792.0,,1.987261,0.6259404,0.08073991,4.107,-0.0023100001,0.06028,-0.00404,0.26711,0.28645,2.8,1.3987,605.131,-0.07,3.14,0.22,2482560
2026-08-25,SIMH3,SIMPAR      ON      NM,Industrials,Rental & Leasing Services,6.56,3829460992.0,,2.089172,0.6580399,0.08488042,4.113,-0.0023100001,0.06028,-0.00404,0.26711,0.28645,2.75,1.3987,605.131,-0.07,3.14,0.22,2482623
2026-08-27,SIMH3,SIMPAR      ON      NM,Industrials,Rental & Leasing Services,6.46,3771085056.0,,2.057325,0.6480088,0.08358651,4.123,-0.0023100001,0.06028,-0.00404,0.26711,0.28645,2.61,1.3987,605.131,-0.07,3.14,0.22,2490200
2026-08-24,SLCE3,SLC AGRICOLAON      NM,Consumer Defensive,Farm Products,15.74,7807296512.0,25.387096,11.174691,1.4400731,0.88688207,8.138,0.069749996,0.06406,0.044120003,0.35002,0.26127002,8.12,1.2901,181.777,0.62,1.40854,0.09,3116607
2026-08-25,SLCE3,SLC AGRICOLAON      NM,Consumer Defensive,Farm Products,15.91,7891619328.0,25.66129,11.295383,1.4556266,0.89646083,8.105,0.069749996,0.06406,0.044120003,0.35002,0.26127002,8.2,1.2901,181.777,0.62,1.40854,0.09,3146552
2026-08-27,SLCE3,SLC AGRICOLAON      NM,Consumer Defensive,Farm Products,16.29,8080106496.0,26.274195,11.565167,1.4903934,0.9178723,8.142,0.069749996,0.06406,0.044120003,0.35002,0.26127002,8.11,1.2901,181.777,0.62,1.40854,0.09,3172369
2026-08-24,SMFT3,SMART FIT   ON      NM,Consumer Cyclical,Leisure,17.6,10801305600.0,16.0,8.704382,1.784447,1.3415158,8.496,0.11691,0.0598,0.085260004,0.43198,0.31749,6.38,0.9437,224.303,1.1,2.02197,0.339,6146395
2026-08-25,SMFT3,SMART FIT   ON      NM,Consumer Cyclical,Leisure,17.45,10709249024.0,15.863637,8.630198,1.7692387,1.3300824,8.566,0.11691,0.0598,0.085260004,0.43198,0.31749,6.28,0.9437,224.303,1.1,2.02197,0.339,6188231
2026-08-27,SMFT3,SMART FIT   ON      NM,Consumer Cyclical,Leisure,17.3,10617191424.0,15.727272,8.556012,1.7540301,1.3186489,8.53,0.11691,0.0598,0.085260004,0.43198,0.31749,6.33,0.9437,224.303,1.1,2.02197,0.339,6459803
2026-08-24,SMTO3,SAO MARTINHOON      NM,Basic Materials,Specialty Chemicals,19.27,6219841024.0,7.8653064,9.984456,0.84328914,0.87571347,4.299,0.11342,0.03453,0.114250004,0.258,0.43493,1.18,0.2745,165.268,2.45,1.93,-0.193,1848740
2026-08-25,SMTO3,SAO MARTINHOON      NM,Basic Materials,Specialty Chemicals,18.46,5958394368.0,7.5346932,9.564767,0.8078421,0.8389035,4.389,0.11342,0.03453,0.114250004,0.258,0.43493,1.12,0.2745,165.268,2.45,1.93,-0.193,1906526
