data,ticker,preco_atual,target_low,target_mean,target_median,target_high,upside_pct,recommendation_key,recommendation_mean,num_analistas
2026-08-25,PETR4,41.35,47.0,55.90769,56.0,63.0,0.3520602176541716,buy,1.61538,13.0
2026-08-27,PETR4,41.45,47.0,55.56667,56.0,63.0,0.3405710494571772,buy,1.61538,12.0
2026-08-24,PGMN3,3.32,5.0,6.72222,6.5,9.0,1.024765060240964,buy,1.6,9.0
2026-08-25,PGMN3,3.51,5.0,6.72222,6.5,9.0,0.9151623931623932,buy,1.6,9.0
2026-08-27,PGMN3,3.45,5.0,6.72222,6.5,9.0,0.9484695652173911,buy,1.6,9.0
2026-08-24,PINE4,10.52,18.0,19.2,19.0,20.0,0.8250950570342206,strong_buy,1.4,5.0
2026-08-25,PINE4,10.9,18.0,19.2,19.0,20.0,0.7614678899082568,strong_buy,1.4,5.0
2026-08-27,PINE4,10.71,18.0,19.2,19.0,20.0,0.7927170868347337,strong_buy,1.4,5.0
2026-08-24,PLPL3,6.8,12.0,16.77778,17.0,23.0,1.4673205882352942,strong_buy,1.33333,9.0
2026-08-25,PLPL3,7.45,12.0,16.77778,17.0,23.0,1.2520510067114097,strong_buy,1.33333,9.0
2026-08-27,PLPL3,7.12,12.0,16.77778,17.0,23.0,1.356429775280899,strong_buy,1.33333,9.0
2026-08-24,PNVL3,11.5,15.0,17.0,17.0,19.0,0.4782608695652173,none,,6.0
2026-08-25,PNVL3,12.18,15.0,17.0,17.0,19.0,0.3957307060755337,none,,6.0
2026-08-27,PNVL3,12.09,15.0,17.0,17.0,19.0,0.4061207609594706,none,,6.0
2026-08-24,POMO3,4.16,,,,,,none,,
2026-08-25,POMO3,4.19,,,,,,none,,
2026-08-27,POMO3,4.11,,,,,,none,,
2026-08-24,POMO4,4.44,7.0,8.43,8.1,10.5,0.8986486486486485,strong_buy,1.4,10.0
2026-08-25,POMO4,4.51,7.0,8.43,8.1,10.5,0.8691796008869179,strong_buy,1.4,10.0
2026-08-27,POMO4,4.41,7.0,8.43,8.1,10.5,0.91156462585034,strong_buy,1.4,10.0
2026-08-24,POSI3,3.42,5.2,5.73333,6.0,6.0,0.6764122807017543,buy,1.66667,3.0
2026-08-25,POSI3,3.43,5.2,5.73333,6.0,6.0,0.6715247813411076,buy,1.66667,3.0
2026-08-27,POSI3,3.39,5.2,5.73333,6.0,6.0,0.6912477876106193,buy,1.66667,3.0
2026-08-24,PRIO3,61.62,56.0,68.2,68.5,78.0,0.106783511846803,buy,1.78571,14.0
2026-08-25,PRIO3,60.88,56.0,68.2,68.5,78.0,0.1202365308804205,buy,1.78571,14.0
2026-08-27,PRIO3,60.76,56.0,68.50714,68.8,78.0,0.1275039499670838,buy,1.78571,14.0
2026-08-24,PRNR3,16.45,28.0,29.66667,30.0,31.0,0.8034449848024316,buy,1.66667,3.0
2026-08-25,PRNR3,17.21,28.0,29.66667,30.0,31.0,0.7238041836141778,buy,1.66667,3.0
2026-08-27,PRNR3,17.54,28.0,29.66667,30.0,31.0,0.6913722919042189,buy,1.66667,3.0
2026-08-24,PSSA3,47.59,46.0,57.0,59.0,63.0,0.197730615675562,buy,2.27273,11.0
2026-08-25,PSSA3,48.24,46.0,57.0,59.0,63.0,0.1815920398009949,buy,2.27273,11.0
2026-08-27,PSSA3,48.54,46.0,57.0,59.0,63.0,0.1742892459826948,buy,2.27273,11.0
2026-08-24,QUAL3,1.63,1.7,2.56667,2.3,4.0,0.5746441717791411,hold,2.8,9.0
2026-08-25,QUAL3,1.69,1.7,2.56667,2.3,4.0,0.518739644970414,hold,2.8,9.0
2026-08-27,QUAL3,1.64,1.7,2.56667,2.3,4.0,0.5650426829268291,hold,2.8,9.0
2026-08-24,RADL3,18.32,18.0,25.25333,26.0,31.0,0.3784568777292576,buy,1.86667,15.0
2026-08-25,RADL3,19.59,18.0,25.25333,26.0,31.0,0.2890929045431341,buy,1.86667,15.0
2026-08-27,RADL3,19.31,18.0,25.25333,26.0,31.0,0.30778508544795447,buy,1.86667,15.0
2026-08-24,RAIL3,14.24,12.0,18.78,19.0,23.0,0.3188202247191012,buy,1.93333,15.0
2026-08-25,RAIL3,14.53,12.0,18.78,19.0,23.0,0.292498279421886,buy,1.93333,15.0
2026-08-27,RAIL3,14.59,12.0,18.88,19.5,23.0,0.2940370116518163,buy,1.93333,15.0
2026-08-24,RANI3,7.83,10.0,11.75,11.5,14.0,0.5006385696040869,strong_buy,1.5,4.0
2026-08-25,RANI3,7.78,10.0,11.75,11.5,14.0,0.5102827763496143,strong_buy,1.5,4.0
2026-08-27,RANI3,7.7,10.0,11.75,11.5,14.0,0.525974025974026,strong_buy,1.5,4.0
2026-08-24,RAPT4,4.73,5.0,7.3125,7.0,10.0,0.5459830866807609,buy,2.16667,12.0
2026-08-25,RAPT4,4.81,5.0,7.3125,7.0,10.0,0.5202702702702704,buy,2.16667,12.0
2026-08-27,RAPT4,4.76,5.0,7.3125,7.0,10.0,0.5362394957983194,buy,2.16667,12.0
2026-08-24,RCSL4,0.75,,,,,,none,,
2026-08-25,RCSL4,0.75,,,,,,none,,
2026-08-27,RCSL4,0.57,,,,,,none,,
2026-08-24,RDOR3,34.52,37.7,47.76429,48.0,58.0,0.383670046349942,strong_buy,1.42857,14.0
2026-08-25,RDOR3,36.07,37.7,47.76429,48.0,58.0,0.3242109786526199,strong_buy,1.42857,14.0
2026-08-27,RDOR3,35.3,37.7,47.76429,48.0,58.0,0.35309603399433453,strong_buy,1.42857,14.0
2026-08-24,RECV3,10.51,8.5,11.92308,12.0,13.5,0.1344509990485252,hold,3.15385,13.0
2026-08-25,RECV3,10.59,8.5,11.92308,12.0,13.5,0.1258810198300284,hold,3.15385,13.0
2026-08-27,RECV3,10.37,8.5,11.92308,12.0,13.5,0.1497666345226616,hold,3.15385,13.0
2026-08-24,RENT3,33.7,37.5,55.09333,55.0,70.0,0.6348169139465873,buy,1.6,15.0
2026-08-25,RENT3,35.65,37.5,54.89333,55.0,70.0,0.5397848527349229,buy,1.6,15.0
2026-08-27,RENT3,35.4,37.5,54.89333,55.0,70.0,0.5506590395480226,buy,1.6,15.0
2026-08-24,RIAA3,6.82,10.5,12.6,12.75,14.0,0.847507331378299,strong_buy,1.3,10.0
2026-08-25,RIAA3,7.05,10.5,12.6,12.75,14.0,0.7872340425531914,strong_buy,1.3,10.0
2026-08-27,RIAA3,6.91,10.5,12.6,12.75,14.0,0.8234442836468885,strong_buy,1.3,10.0
2026-08-24,SANB11,29.65,27.0,33.43,33.0,44.0,0.127487352445194,none,,10.0
2026-08-25,SANB11,29.69,27.0,33.43,33.0,44.0,0.1259683395082518,none,,10.0
2026-08-27,SANB11,29.73,27.0,33.43,33.0,44.0,0.12445341405987209,hold,2.63636,10.0
2026-08-24,SAPR11,33.2,33.45,41.88455,42.5,50.88,0.261582831325301,hold,3.27273,11.0
2026-08-25,SAPR11,33.65,33.45,41.88455,42.5,50.88,0.2447117384843982,hold,3.27273,11.0
2026-08-27,SAPR11,33.26,33.45,41.88455,42.5,50.88,0.25930697534576064,hold,3.27273,11.0
2026-08-24,SAUD3,13.93,13.1,17.68889,18.0,20.0,0.2698413496051688,buy,1.55556,9.0
2026-08-25,SAUD3,13.9,13.1,17.68889,18.0,20.0,0.2725820143884891,buy,1.55556,9.0
2026-08-27,SAUD3,14.0,13.1,17.68889,18.0,20.0,0.26349214285714284,buy,1.55556,9.0
