ticker,ticker_yf,nome,tipo,participacao_pct,data_atualizacao
CSAN3,CSAN3.SA,COSAN,ON      NM,"0,297",2026-09-23
CPFE3,CPFE3.SA,CPFL ENERGIA,ON      NM,"0,300",2026-09-23
CMIN3,CMIN3.SA,CSNMINERACAO,ON      N2,"0,289",2026-09-23
CURY3,CURY3.SA,CURY S/A,ON      NM,"0,160",2026-09-23
CVCB3,CVCB3.SA,CVC BRASIL,ON      NM,"0,020",2026-09-23
CYRE3,CYRE3.SA,CYRELA REALT,ON      NM,"0,243",2026-09-23
DASA3,DASA3.SA,DASA,ON      NM,"0,020",2026-09-23
DESK3,DESK3.SA,DESKTOP,ON      NM,"0,024",2026-09-23
DXCO3,DXCO3.SA,DEXCO,ON      NM,"0,067",2026-09-23
PNVL3,PNVL3.SA,DIMED,ON      NM,"0,038",2026-09-23
DIRR3,DIRR3.SA,DIRECIONAL,ON      NM,"0,117",2026-09-23
ECOR3,ECOR3.SA,ECORODOVIAS,ON      NM,"0,098",2026-09-23
EMBJ3,EMBJ3.SA,EMBRAER,ON  EJ  NM,"2,445",2026-09-23
ENGI11,ENGI11.SA,ENERGISA,UNT     N2,"0,663",2026-09-23
ENEV3,ENEV3.SA,ENEVA,ON      NM,"1,853",2026-09-23
EGIE3,EGIE3.SA,ENGIE BRASIL,ON      NM,"0,474",2026-09-23
EQTL3,EQTL3.SA,EQUATORIAL,ON      NM,"1,763",2026-09-23
EVEN3,EVEN3.SA,EVEN,ON      NM,"0,013",2026-09-23
EZTC3,EZTC3.SA,EZTEC,ON      NM,"0,058",2026-09-23
FESA4,FESA4.SA,FERBASA,PN      N1,"0,031",2026-09-23
FLRY3,FLRY3.SA,FLEURY,ON      NM,"0,344",2026-09-23
FRAS3,FRAS3.SA,FRAS-LE,ON      N1,"0,088",2026-09-23
GGBR4,GGBR4.SA,GERDAU,PN      N1,"1,113",2026-09-23
GOAU4,GOAU4.SA,GERDAU MET,PN      N1,"0,331",2026-09-23
GGPS3,GGPS3.SA,GPS,ON      NM,"0,195",2026-09-23
GRND3,GRND3.SA,GRENDENE,ON      NM,"0,032",2026-09-23
GMAT3,GMAT3.SA,GRUPO MATEUS,ON      NM,"0,080",2026-09-23
SBFG3,SBFG3.SA,GRUPO SBF,ON      NM,"0,039",2026-09-23
HAPV3,HAPV3.SA,HAPVIDA,ON      NM,"0,066",2026-09-23
HBSA3,HBSA3.SA,HIDROVIAS,ON      NM,"0,064",2026-09-23
HYPE3,HYPE3.SA,HYPERA,ON      NM,"0,258",2026-09-23
IGTI11,IGTI11.SA,IGUATEMI S.A,UNT     N1,"0,206",2026-09-23
INTB3,INTB3.SA,INTELBRAS,ON  EJ  NM,"0,058",2026-09-23
MYPK3,MYPK3.SA,IOCHP-MAXION,ON      NM,"0,046",2026-09-23
RANI3,RANI3.SA,IRANI,ON      NM,"0,028",2026-09-23
IRBR3,IRBR3.SA,IRBBRASIL RE,ON      NM,"0,179",2026-09-23
ISAE4,ISAE4.SA,ISA ENERGIA,PN      N1,"0,440",2026-09-23
ITSA4,ITSA4.SA,ITAUSA,PN      N1,"3,002",2026-09-23
ITUB3,ITUB3.SA,ITAUUNIBANCO,ON      N1,"0,753",2026-09-23
ITUB4,ITUB4.SA,ITAUUNIBANCO,PN      N1,"8,046",2026-09-23
JHSF3,JHSF3.SA,JHSF PART,ON      NM,"0,106",2026-09-23
JSLG3,JSLG3.SA,JSL,ON      NM,"0,018",2026-09-23
KEPL3,KEPL3.SA,KEPLER WEBER,ON      NM,"0,040",2026-09-23
KLBN11,KLBN11.SA,KLABIN S/A,UNT     N2,"0,530",2026-09-23
LAVV3,LAVV3.SA,LAVVI,ON      NM,"0,027",2026-09-23
RENT3,RENT3.SA,LOCALIZA,ON      NM,"1,292",2026-09-23
LOGG3,LOGG3.SA,LOG COM PROP,ON      NM,"0,047",2026-09-23
LREN3,LREN3.SA,LOJAS RENNER,ON  EJ  NM,"0,386",2026-09-23
LWSA3,LWSA3.SA,LWSA,ON      NM,"0,054",2026-09-23
MDIA3,MDIA3.SA,M.DIASBRANCO,ON  ED  NM,"0,039",2026-09-23
MGLU3,MGLU3.SA,MAGAZ LUIZA,ON      NM,"0,080",2026-09-23
POMO3,POMO3.SA,MARCOPOLO,ON      N2,"0,028",2026-09-23
POMO4,POMO4.SA,MARCOPOLO,PN      N2,"0,107",2026-09-23
MBRF3,MBRF3.SA,MARFRIG,ON      NM,"0,443",2026-09-23
CASH3,CASH3.SA,MELIUZ,ON      NM,"0,016",2026-09-23
LEVE3,LEVE3.SA,METAL LEVE,ON      NM,"0,061",2026-09-23
MILS3,MILS3.SA,MILLS,ON      NM,"0,061",2026-09-23
BEEF3,BEEF3.SA,MINERVA,ON      NM,"0,062",2026-09-23
MOTV3,MOTV3.SA,MOTIVA SA,ON      NM,"0,584",2026-09-23
MDNE3,MDNE3.SA,MOURA DUBEUX,ON      NM,"0,058",2026-09-23
MOVI3,MOVI3.SA,MOVIDA,ON      NM,"0,054",2026-09-23
MRVE3,MRVE3.SA,MRV,ON      NM,"0,069",2026-09-23
MULT3,MULT3.SA,MULTIPLAN,ON      N2,"0,354",2026-09-23
NATU3,NATU3.SA,NATURA,ON      NM,"0,227",2026-09-23
OPCT3,OPCT3.SA,OCEANPACT,ON  EC  NM,"0,039",2026-09-23
ORVR3,ORVR3.SA,ORIZON,ON      NM,"0,132",2026-09-23
PGMN3,PGMN3.SA,PAGUE MENOS,ON      NM,"0,043",2026-09-23
PETR3,PETR3.SA,PETROBRAS,ON      N2,"6,460",2026-09-23
PETR4,PETR4.SA,PETROBRAS,PN      N2,"7,445",2026-09-23
RECV3,RECV3.SA,PETRORECSA,ON      NM,"0,105",2026-09-23
AUAU3,AUAU3.SA,PETZCOBASI,ON      NM,"0,026",2026-09-23
PINE4,PINE4.SA,PINE,PN      N2,"0,022",2026-09-23
PLPL3,PLPL3.SA,PLANOEPLANO,ON      NM,"0,014",2026-09-23
PSSA3,PSSA3.SA,PORTO SEGURO,ON      NM,"0,302",2026-09-23
POSI3,POSI3.SA,POSITIVO TEC,ON      NM,"0,008",2026-09-23
PRNR3,PRNR3.SA,PRINER,ON      NM,"0,037",2026-09-23
PRIO3,PRIO3.SA,PRIO,ON      NM,"1,591",2026-09-23
QUAL3,QUAL3.SA,QUALICORP,ON      NM,"0,016",2026-09-23
LJQQ3,LJQQ3.SA,QUERO-QUERO,ON      NM,"0,009",2026-09-23
RADL3,RADL3.SA,RAIADROGASIL,ON      NM,"0,927",2026-09-23
RAPT4,RAPT4.SA,RANDON PART,PN      N1,"0,032",2026-09-23
RDOR3,RDOR3.SA,REDE D OR,ON      NM,"1,381",2026-09-23
RIAA3,RIAA3.SA,RIACHUELO,ON      NM,"0,021",2026-09-23
RAIL3,RAIL3.SA,RUMO S.A.,ON      NM,"0,769",2026-09-23
SBSP3,SBSP3.SA,SABESP,ON      NM,"3,391",2026-09-23
SAPR11,SAPR11.SA,SANEPAR,UNT     N2,"0,244",2026-09-23
SANB11,SANB11.SA,SANTANDER BR,UNT,"0,370",2026-09-23
SMTO3,SMTO3.SA,SAO MARTINHO,ON      NM,"0,079",2026-09-23
SEER3,SEER3.SA,SER EDUCA,ON      NM,"0,026",2026-09-23
CSNA3,CSNA3.SA,SID NACIONAL,ON,"0,159",2026-09-23
SIMH3,SIMH3.SA,SIMPAR,ON      NM,"0,075",2026-09-23
SLCE3,SLCE3.SA,SLC AGRICOLA,ON      NM,"0,138",2026-09-23
SMFT3,SMFT3.SA,SMART FIT,ON      NM,"0,334",2026-09-23
SUZB3,SUZB3.SA,SUZANO S.A.,ON      NM,"1,031",2026-09-23
TAEE11,TAEE11.SA,TAESA,UNT     N2,"0,319",2026-09-23
TGMA3,TGMA3.SA,TEGMA,ON      NM,"0,040",2026-09-23
VIVT3,VIVT3.SA,TELEF BRASIL,ON,"0,758",2026-09-23
TEND3,TEND3.SA,TENDA,ON      NM,"0,120",2026-09-23
TIMS3,TIMS3.SA,TIM,ON  EJ  NM,"0,519",2026-09-23
TOTS3,TOTS3.SA,TOTVS,ON      NM,"0,647",2026-09-23
TFCO4,TFCO4.SA,TRACK FIELD,PN      N2,"0,023",2026-09-23
TUPY3,TUPY3.SA,TUPY,ON      NM,"0,075",2026-09-23
UGPA3,UGPA3.SA,ULTRAPAR,ON      NM,"1,472",2026-09-23
UNIP6,UNIP6.SA,UNIPAR,PNB,"0,100",2026-09-23
USIM5,USIM5.SA,USIMINAS,PNA     N1,"0,128",2026-09-23
VALE3,VALE3.SA,VALE,ON      NM,"10,836",2026-09-23
VLID3,VLID3.SA,VALID,ON      NM,"0,047",2026-09-23
VAMO3,VAMO3.SA,VAMOS,ON      NM,"0,068",2026-09-23
VBBR3,VBBR3.SA,VIBRA,ON  EJ  NM,"1,655",2026-09-23
VTRU3,VTRU3.SA,VITRUEDUCA,ON      NM,"0,075",2026-09-23
VIVA3,VIVA3.SA,VIVARA S.A.,ON      NM,"0,098",2026-09-23
VULC3,VULC3.SA,VULCABRAS,ON      NM,"0,051",2026-09-23
WEGE3,WEGE3.SA,WEG,ON  EJ  NM,"2,641",2026-09-23
YDUQ3,YDUQ3.SA,YDUQS PART,ON      NM,"0,098",2026-09-23
