,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,5892990.851513,1533740.0,34477020.0,393653.651047
Tax Rate For Calcs,0.257741,0.34,0.34,0.211301
Normalized EBITDA,707834000.0,454626000.0,459847000.0,280750000.0
Total Unusual Items,22864000.0,4511000.0,101403000.0,1863000.0
Total Unusual Items Excluding Goodwill,22864000.0,4511000.0,101403000.0,1863000.0
Net Income From Continuing Operation Net Minority Interest,105489000.0,-15598000.0,73315000.0,-92975000.0
Reconciled Depreciation,324022000.0,259386000.0,247806000.0,223645000.0
Reconciled Cost Of Revenue,1560126000.0,1259143000.0,1273209000.0,1013399000.0
EBITDA,730698000.0,459137000.0,561250000.0,282613000.0
EBIT,406676000.0,199751000.0,313444000.0,58968000.0
Net Interest Income,-269260000.0,-194153000.0,-183370000.0,-181237000.0
Interest Expense,264576000.0,188225000.0,189050000.0,176852000.0
Interest Income,10356000.0,5292000.0,7869000.0,4856000.0
Normalized Income,88517990.851513,-18575260.0,6389020.0,-94444346.348953
Net Income From Continuing And Discontinued Operation,105489000.0,-15598000.0,73315000.0,-92975000.0
Total Expenses,1828357000.0,1446058000.0,1475118000.0,1176322000.0
Diluted Average Shares,199266947.0,194975000.0,199151032.0,199959554.0
Basic Average Shares,198654746.0,194975000.0,198084968.0,199959554.0
Diluted EPS,0.5294,-0.08,0.3681,-0.464969
Basic EPS,0.531,-0.08,0.3701,-0.464969
Diluted NI Availto Com Stockholders,105489000.0,-15598000.0,73315000.0,-92975000.0
Net Income Common Stockholders,105489000.0,-15598000.0,73315000.0,-92975000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,105489000.0,-15598000.0,73315000.0,-92975000.0
Minority Interests,14000.0,0.0,,
Net Income Including Noncontrolling Interests,105475000.0,-15598000.0,73315000.0,-92975000.0
Net Income Continuous Operations,105475000.0,-15598000.0,73315000.0,-92975000.0
Tax Provision,36625000.0,27124000.0,51079000.0,-24909000.0
Pretax Income,142100000.0,11526000.0,124394000.0,-117884000.0
Special Income Charges,22864000.0,4511000.0,101403000.0,1863000.0
Other Special Charges,-22864000.0,-4511000.0,-97747000.0,-1863000.0
Restructuring And Mergern Acquisition,,0.0,-3656000.0,0.0
Net Non Operating Interest Income Expense,-269260000.0,-194153000.0,-183370000.0,-181237000.0
Total Other Finance Cost,15040000.0,11220000.0,2189000.0,9241000.0
Interest Expense Non Operating,264576000.0,188225000.0,189050000.0,176852000.0
Interest Income Non Operating,10356000.0,5292000.0,7869000.0,4856000.0
Operating Income,305560000.0,275000000.0,173765000.0,24635000.0
Operating Expense,268231000.0,186915000.0,201909000.0,162923000.0
Other Operating Expenses,16916000.0,-3648000.0,34582000.0,48085000.0
Selling General And Administration,251315000.0,190563000.0,167327000.0,114838000.0
General And Administrative Expense,251315000.0,190563000.0,167327000.0,114838000.0
Gross Profit,573791000.0,461915000.0,375674000.0,187558000.0
Cost Of Revenue,1560126000.0,1259143000.0,1273209000.0,1013399000.0
Total Revenue,2133917000.0,1721058000.0,1648883000.0,1200957000.0
Operating Revenue,2133917000.0,1721058000.0,1648883000.0,1200957000.0
